M,ebn0_db,theory_bit,theory_symb,sim_bit,sim_symb
2,0,0.07864960352514258,0.07864960352514258,0.17838093813867703,0.17838093813867703
2,1,0.05628195197654147,0.05628195197654147,0.13827825133343302,0.13827825133343302
2,2,0.037506128358925986,0.037506128358925986,0.10024425502218234,0.10024425502218234
2,3,0.02287840756108534,0.02287840756108534,0.06447834105976771,0.06447834105976771
2,4,0.012500818040737566,0.012500818040737566,0.03666317730920692,0.03666317730920692
2,5,0.005953867147778662,0.005953867147778662,0.018767758337071932,0.018767758337071932
2,6,0.002388290780932807,0.002388290780932807,0.008474153830816011,0.008474153830816011
2,7,0.0007726748153784446,0.0007726748153784446,0.0030656497682069687,0.0030656497682069687
2,8,0.00019090777407599314,0.00019090777407599314,0.0009969592742136483,0.0009969592742136483
2,9,3.36272284196176e-05,3.36272284196176e-05,0.0002663750560789592,0.0002663750560789592
2,10,3.87210821552205e-06,3.87210821552205e-06,4.244860700417593e-05,4.244860700417593e-05
4,0,0.07864960352514258,0.15729920705028516,0.17688549922735655,0.28800717774897816
4,1,0.05628195197654147,0.11256390395308294,0.13643387667613777,0.22375635529857443
4,2,0.037506128358925986,0.07501225671785197,0.09685459348985594,0.15870800518392983
4,3,0.022878407561085327,0.045756815122170655,0.06417925327750361,0.10397766922540126
4,4,0.012500818040737553,0.025001636081475105,0.037610288619709886,0.06076163891935001
4,5,0.005953867147778662,0.011907734295557325,0.016823687752355317,0.027115940584189015
4,6,0.002388290780932807,0.004776581561865614,0.00824983799411794,0.012860133585883761
4,7,0.0007726748153784446,0.0015453496307568891,0.0036264393599521457,0.00533359918251377
4,8,0.00019090777407599314,0.0003818155481519863,0.0010343452469966602,0.0015079009022481431
4,9,3.3627228419617505e-05,6.725445683923501e-05,0.0002663750560789592,0.0003800895391258564
4,10,3.87210821552205e-06,7.7442164310441e-06,5.685776717990537e-05,7.78873219690538e-05
8,0,0.1161878553326204,0.3485635659978612,0.22977418872439062,0.47225960819500523
8,1,0.09763706378539523,0.2929111913561857,0.1949304620906236,0.3983849259757739
8,2,0.07932141777736901,0.23796425333210702,0.15629829021484473,0.32383729624644836
8,3,0.0618251345896678,0.1854754037690034,0.11494940431683366,0.24383131449080306
8,4,0.04579094273467243,0.13737282820401728,0.07704002791485967,0.1623298938238373
8,5,0.03184330336407077,0.0955299100922123,0.04595982254124919,0.09832510841932107
8,6,0.020479923891202897,0.06143977167360869,0.028537959224365684,0.06086436369074323
8,7,0.011952769488034592,0.035858308464103775,0.01236229500024924,0.026469268730372364
8,8,0.006181051750685378,0.018543155252056135,0.005383580080753701,0.011365335726035592
8,9,0.00274813352965267,0.00824440058895801,0.0023428542944020736,0.005121878271272619
8,10,0.0010113953207128911,0.0030341859621386734,0.000732141967000648,0.0016730222820397786
16,0,0.1452715594824753,0.5810862379299012,0.2876476745924929,0.6421094606719171
16,1,0.13395794547379555,0.5358317818951822,0.2600817506604855,0.5904695444123218
16,2,0.12181498797037182,0.4872599518814873,0.22548726384527193,0.5189911275047353
16,3,0.10893066282228764,0.43572265128915055,0.18506056527590847,0.4352507227594457
16,4,0.0954557764318765,0.381823105727506,0.14635362145456357,0.35051340843385503
16,5,0.08161707600107043,0.32646830400428173,0.11803997806689596,0.2840195394277739
16,6,0.06772598480871872,0.2709039392348749,0.0840685907980659,0.20546306450004984
16,7,0.05417752858915559,0.21671011435662235,0.05587956731967499,0.13847074070381815
16,8,0.04143246526197408,0.16572986104789633,0.03245102437565425,0.0806499850463563
16,9,0.02997578947663146,0.11990315790652584,0.02265589950650516,0.05712291895125112
16,10,0.020248789802578354,0.08099515921031342,0.012387218982104582,0.031203269863423387
